Data,A509,A517,A529,A531,A557,A603,A604,A607,A610,A611,A618,A624,A625,A626,A629,A630,A635,A706,A744,Label
2018-01-01,0.4,0.6000000000000001,0.2,0.0,0.2,0.0,0.6000000000000001,1.0,0.4,2.2,19.8,5.8,0.2,12.4,,,1.2,0.0,0.0,102893137039.75385
2018-01-02,0.0,0.2,0.8,2.2,9.6,0.8,7.0,0.2,6.800000000000001,0.0,2.6000000000000005,0.2,0.2,0.4,,,12.399999999999999,2.6000000000000005,0.6,113603470131.2
2018-01-03,19.400000000000002,0.0,1.2,8.8,14.2,20.200000000000003,4.6,0.0,8.600000000000001,19.4,9.399999999999999,33.2,13.0,13.4,,,9.8,12.0,23.999999999999996,68120718838.15385
2018-01-04,2.6000000000000005,40.0,3.8000000000000003,1.2,27.000000000000004,52.20000000000001,65.2,37.8,66.60000000000001,25.199999999999996,81.8,47.40000000000001,14.6,22.0,,,21.799999999999997,5.6000000000000005,3.6,102830303562.83076
2018-01-05,0.0,9.600000000000001,18.8,5.400000000000001,6.800000000000002,,31.200000000000003,1.5999999999999999,37.6,22.6,13.0,20.0,35.6,32.6,,,35.800000000000004,7.4,0.0,117933729784.12308
2018-01-06,0.6,3.0,24.0,7.0,1.2,10.799999999999997,7.2,8.6,13.599999999999998,23.799999999999997,9.6,8.2,1.2,1.4,,,27.199999999999992,28.399999999999995,9.8,110688283285.66154
2018-01-07,65.8,0.0,62.39999999999999,45.2,0.0,10.0,0.0,0.0,16.2,40.6,7.6,2.6,2.5999999999999996,73.60000000000001,,,57.599999999999994,47.2,59.4,124511069026.46153
2018-01-08,31.399999999999995,0.0,21.600000000000005,33.00000000000001,45.20000000000001,41.0,0.0,0.0,39.6,6.600000000000001,28.199999999999996,0.0,24.799999999999997,67.39999999999999,,,30.799999999999994,42.400000000000006,12.799999999999997,125885406176.09616
2018-01-09,5.2,0.8,0.4,0.4,0.0,0.2,0.0,0.0,0.2,0.0,5.0,0.0,0.0,1.0,,,1.4,1.8,1.6,81834857710.97116
2018-01-10,0.2,0.0,0.0,0.2,0.0,1.4,8.0,1.0,3.8,0.0,0.0,0.0,0.0,0.0,,,7.0,0.2,0.0,128012864606.52307
2018-01-11,23.0,0.0,0.8,3.4000000000000004,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,29.0,3.4000000000000004,52.4,101193054309.23846
2018-01-12,5.800000000000001,3.6000000000000005,4.2,10.2,3.0000000000000004,0.6,0.0,0.6,0.0,19.0,12.2,0.0,17.2,0.0,,,7.600000000000001,8.200000000000001,1.5999999999999999,78625578257.72308
2018-01-13,9.4,3.4000000000000004,9.200000000000001,3.2,1.4,5.6000000000000005,0.0,0.0,0.0,13.6,0.2,0.0,1.8,23.4,,,22.799999999999997,13.6,0.0,110454634045.04616
2018-01-14,5.999999999999999,1.4,17.6,2.6,12.2,2.4000000000000004,0.0,0.0,7.6000000000000005,0.4,22.2,0.0,8.799999999999999,3.1999999999999997,,,9.200000000000001,14.4,0.0,100085002950.8923
2018-01-15,22.400000000000002,0.0,9.800000000000002,13.799999999999997,3.0,5.4,0.0,0.0,19.799999999999997,0.0,6.800000000000001,0.0,19.8,0.6000000000000001,,,0.0,7.4,0.0,109983758832.24615
2018-01-16,17.200000000000003,0.0,4.6000000000000005,1.4000000000000001,0.2,0.2,0.0,0.0,0.0,0.2,1.0,0.0,0.8,0.0,,,11.999999999999998,12.399999999999997,9.2,95725224929.18654
2018-01-17,0.4,0.0,35.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,,,0.4,0.2,2.5999999999999996,118224113278.03076
2018-01-18,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.6,100048675228.26346
2018-01-19,17.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,,,0.0,1.5999999999999999,14.400000000000002,90149017240.43846
2018-01-20,1.8,0.0,4.0,0.8,0.0,0.0,0.0,0.0,0.0,12.0,1.8,0.0,0.0,10.0,,,23.8,3.6000000000000005,13.799999999999999,103112034952.57115
2018-01-21,0.2,3.6,0.0,0.2,0.0,0.0,0.0,0.0,0.4,27.2,0.0,0.0,0.0,0.4,,,0.4,0.4,6.6000000000000005,103311601711.26154
2018-01-22,4.0,6.8,23.4,2.2,54.2,16.6,0.0,0.0,18.6,13.4,6.4,0.0,43.2,18.8,,,20.399999999999995,4.2,9.4,117305815969.08076
2018-01-23,4.0,0.4,2.0,0.2,2.8000000000000003,0.4,2.8000000000000003,0.0,17.2,2.6,84.2,0.0,9.2,0.4,,,3.2,3.0,13.0,74578073431.34038
2018-01-24,28.2,0.0,5.800000000000001,1.0,0.2,0.0,0.0,0.0,21.2,0.2,0.2,0.0,0.4,0.0,,,5.6,0.6000000000000001,32.800000000000004,101675122865.925
2018-01-25,10.6,0.0,8.0,2.5999999999999996,0.0,0.0,0.0,0.0,5.6,0.0,49.6,0.0,0.4,1.6,,,20.2,24.2,0.2,108976516533.86346
2018-01-26,29.2,0.0,9.0,11.0,0.2,39.4,0.0,0.0,7.800000000000001,0.0,35.199999999999996,0.0,0.2,54.8,,,67.8,30.000000000000004,2.2,131523632462.76923
2018-01-27,24.6,0.0,0.8,24.6,0.0,95.6,0.0,0.0,61.60000000000001,6.0,26.4,0.0,0.0,27.599999999999994,,,4.400000000000002,28.799999999999997,0.0,124226574435.15576
2018-01-28,1.8,0.0,0.0,0.4,1.0,0.2,0.0,0.0,0.2,0.2,1.5999999999999999,0.0,0.0,0.4,,,0.0,5.2,0.0,119739759828.67693
2018-01-29,33.800000000000004,0.2,22.8,13.2,0.4,7.800000000000001,4.8,0.6000000000000001,18.0,1.0,12.600000000000001,0.0,4.6,2.4000000000000004,,,14.599999999999998,17.200000000000003,2.6,108985076274.80385
2018-01-30,46.60000000000001,37.0,14.6,16.0,53.199999999999996,37.2,18.799999999999997,75.60000000000001,43.60000000000001,43.2,53.39999999999999,0.0,23.999999999999996,35.2,,,20.799999999999997,28.599999999999994,25.400000000000002,121525085083.56923
2018-01-31,0.2,77.8,1.0,0.4,3.2,1.0,24.400000000000002,5.800000000000001,4.800000000000001,2.2,3.8000000000000003,0.0,4.2,0.8,,,1.8,1.4000000000000001,0.0,136857255772.55385
2018-02-01,1.5999999999999999,4.8,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.2,0.0,0.0,0.0,,,0.0,0.8,0.4,122564377001.35385
2018-02-02,0.2,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.4,0.0,99823690990.27692
2018-02-03,0.8,0.0,0.0,0.0,4.0,1.7999999999999998,0.0,0.0,0.4,0.0,22.599999999999994,0.0,10.8,0.0,,,1.4,0.0,0.0,100817381803.32307
2018-02-04,0.2,8.6,0.0,0.0,8.0,8.4,7.2,1.6,6.800000000000002,0.0,23.4,0.0,4.8,0.0,,,0.2,1.2000000000000002,0.0,127937666760.86154
2018-02-05,0.0,22.0,3.6,1.0,0.0,14.2,8.6,16.4,38.79999999999999,11.0,41.199999999999996,0.0,33.2,2.4000000000000004,,,4.3999999999999995,0.0,0.0,117167823907.05
2018-02-06,0.6,33.6,5.4,0.4,0.0,4.000000000000001,0.0,43.60000000000001,11.399999999999999,8.8,17.4,0.0,8.4,6.2,,,2.2,14.599999999999998,0.0,115392717611.32307
2018-02-07,0.2,26.0,0.0,0.0,0.0,12.200000000000001,0.0,2.1999999999999997,7.4,8.0,6.000000000000002,0.0,27.599999999999994,10.799999999999999,,,3.4000000000000004,0.4,0.0,116936902039.63077
2018-02-08,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.2,,,0.2,0.0,0.0,112311234335.50769
2018-02-09,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2,0.0,0.0,109156788141.29231
2018-02-10,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,28.2,,,9.599999999999998,0.2,2.6,102251252220.06154
2018-02-11,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,59.2,1.5999999999999999,0.0,0.0,0.6000000000000001,0.4,,,3.5999999999999996,0.0,14.999999999999998,105474955744.49231
2018-02-12,7.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,,,1.2000000000000002,0.0,0.2,110224180613.9077
2018-02-13,1.2000000000000002,0.0,1.0,2.2,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,,,38.0,15.2,0.0,108811678237.53847
